pincode,state_name,city,State CODE
123303,HARYANA,GURGAON,HR
123304,HARYANA,GURGAON,HR
123305,HARYANA,GURGAON,HR
123306,HARYANA,GURGAON,HR
123307,HARYANA,GURGAON,HR
123310,HARYANA,GURGAON,HR
123356,HARYANA,GURGAON,HR
123400,HARYANA,GURGAON,HR
123401,HARYANA,GURGAON,HR
123402,HARYANA,GURGAON,HR
123404,HARYANA,GURGAON,HR
123411,HARYANA,GURGAON,HR
123412,HARYANA,GURGAON,HR
123413,HARYANA,GURGAON,HR
123414,HARYANA,GURGAON,HR
123421,HARYANA,GURGAON,HR
123445,HARYANA,GURGAON,HR
123452,HARYANA,GURGAON,HR
123455,HARYANA,GURGAON,HR
123456,HARYANA,GURGAON,HR
123457,HARYANA,GURGAON,HR
123458,HARYANA,GURGAON,HR
123459,HARYANA,GURGAON,HR
123466,HARYANA,GURGAON,HR
123501,HARYANA,GURGAON,HR
123502,HARYANA,GURGAON,HR
123503,HARYANA,GURGAON,HR
123504,HARYANA,GURGAON,HR
123505,HARYANA,GURGAON,HR
123506,HARYANA,GURGAON,HR
123546,HARYANA,GURGAON,HR
123556,HARYANA,GURGAON,HR
123600,HARYANA,GURGAON,HR
123601,HARYANA,GURGAON,HR
123620,HARYANA,GURGAON,HR
123654,HARYANA,GURGAON,HR
123789,HARYANA,GURGAON,HR
124000,HARYANA,ROHTAK,HR
124001,HARYANA,ROHTAK,HR
124002,HARYANA,ROHTAK,HR
124003,HARYANA,ROHTAK,HR
124004,HARYANA,ROHTAK,HR
124005,HARYANA,ROHTAK,HR
124006,HARYANA,ROHTAK,HR
124007,HARYANA,ROHTAK,HR
124008,HARYANA,ROHTAK,HR
124009,HARYANA,ROHTAK,HR
124010,HARYANA,ROHTAK,HR
124021,HARYANA,ROHTAK,HR
124022,HARYANA,ROHTAK,HR
124023,HARYANA,ROHTAK,HR
124027,HARYANA,ROHTAK,HR
124029,HARYANA,ROHTAK,HR
124057,HARYANA,ROHTAK,HR
124101,HARYANA,ROHTAK,HR
124102,HARYANA,ROHTAK,HR
124103,HARYANA,ROHTAK,HR
124104,HARYANA,ROHTAK,HR
124105,HARYANA,ROHTAK,HR
124106,HARYANA,ROHTAK,HR
124107,HARYANA,ROHTAK,HR
124108,HARYANA,ROHTAK,HR
124109,HARYANA,ROHTAK,HR
124111,HARYANA,ROHTAK,HR
124112,HARYANA,ROHTAK,HR
124113,HARYANA,ROHTAK,HR
124116,HARYANA,ROHTAK,HR
124119,HARYANA,ROHTAK,HR
124120,HARYANA,ROHTAK,HR
124126,HARYANA,ROHTAK,HR
124127,HARYANA,ROHTAK,HR
124128,HARYANA,ROHTAK,HR
124129,HARYANA,ROHTAK,HR
124131,HARYANA,ROHTAK,HR
124135,HARYANA,ROHTAK,HR
124139,HARYANA,ROHTAK,HR
124140,HARYANA,ROHTAK,HR
124141,HARYANA,ROHTAK,HR
124142,HARYANA,ROHTAK,HR
124146,HARYANA,ROHTAK,HR
124201,HARYANA,ROHTAK,HR
124202,HARYANA,ROHTAK,HR
124203,HARYANA,ROHTAK,HR
124204,HARYANA,ROHTAK,HR
124205,HARYANA,ROHTAK,HR
124303,HARYANA,ROHTAK,HR
124312,HARYANA,ROHTAK,HR
124314,HARYANA,ROHTAK,HR
124320,HARYANA,ROHTAK,HR
124401,HARYANA,ROHTAK,HR
124404,HARYANA,ROHTAK,HR
124406,HARYANA,ROHTAK,HR
124411,HARYANA,ROHTAK,HR
124412,HARYANA,ROHTAK,HR
124416,HARYANA,ROHTAK,HR
124419,HARYANA,ROHTAK,HR
124422,HARYANA,ROHTAK,HR
124458,HARYANA,ROHTAK,HR
124501,HARYANA,ROHTAK,HR
124502,HARYANA,ROHTAK,HR
124503,HARYANA,ROHTAK,HR
124504,HARYANA,ROHTAK,HR
124505,HARYANA,ROHTAK,HR
124506,HARYANA,ROHTAK,HR
124507,HARYANA,ROHTAK,HR
124508,HARYANA,ROHTAK,HR
124509,HARYANA,ROHTAK,HR
124510,HARYANA,ROHTAK,HR
124511,HARYANA,ROHTAK,HR
124513,HARYANA,ROHTAK,HR
124514,HARYANA,ROHTAK,HR
124517,HARYANA,ROHTAK,HR
124518,HARYANA,ROHTAK,HR
124519,HARYANA,ROHTAK,HR
124520,HARYANA,ROHTAK,HR
124521,HARYANA,ROHTAK,HR
124524,HARYANA,ROHTAK,HR
124525,HARYANA,ROHTAK,HR
124527,HARYANA,ROHTAK,HR
124529,HARYANA,ROHTAK,HR
124533,HARYANA,ROHTAK,HR
124547,HARYANA,ROHTAK,HR
124571,HARYANA,ROHTAK,HR
124707,HARYANA,ROHTAK,HR
124756,HARYANA,ROHTAK,HR
125000,HARYANA,HISSAR,HR
125001,HARYANA,HISSAR,HR
125002,HARYANA,HISSAR,HR
125003,HARYANA,HISSAR,HR
125004,HARYANA,HISSAR,HR
125005,HARYANA,HISSAR,HR
125006,HARYANA,HISSAR,HR
125007,HARYANA,HISSAR,HR
125011,HARYANA,HISSAR,HR
125012,HARYANA,HISSAR,HR
125021,HARYANA,HISSAR,HR
125022,HARYANA,HISSAR,HR
125025,HARYANA,HISSAR,HR
125026,HARYANA,HISSAR,HR
125028,HARYANA,HISSAR,HR
125033,HARYANA,HISSAR,HR
125034,HARYANA,HISSAR,HR
125037,HARYANA,HISSAR,HR
125038,HARYANA,HISSAR,HR
125039,HARYANA,HISSAR,HR
125040,HARYANA,HISSAR,HR
125041,HARYANA,HISSAR,HR
125042,HARYANA,HISSAR,HR
125044,HARYANA,HISSAR,HR
125045,HARYANA,HISSAR,HR
125047,HARYANA,HISSAR,HR
125048,HARYANA,HISSAR,HR
125049,HARYANA,HISSAR,HR
125050,HARYANA,HISSAR,HR
125051,HARYANA,HISSAR,HR
125052,HARYANA,HISSAR,HR
125053,HARYANA,HISSAR,HR
125054,HARYANA,HISSAR,HR
125055,HARYANA,HISSAR,HR
125056,HARYANA,HISSAR,HR
125058,HARYANA,HISSAR,HR
125059,HARYANA,HISSAR,HR
125060,HARYANA,HISSAR,HR
125062,HARYANA,HISSAR,HR
125066,HARYANA,HISSAR,HR
125075,HARYANA,HISSAR,HR
125076,HARYANA,HISSAR,HR
125077,HARYANA,HISSAR,HR
125078,HARYANA,HISSAR,HR
125101,HARYANA,HISSAR,HR
125102,HARYANA,HISSAR,HR
125103,HARYANA,HISSAR,HR
125104,HARYANA,HISSAR,HR
125105,HARYANA,HISSAR,HR
125106,HARYANA,HISSAR,HR
125107,HARYANA,HISSAR,HR
125110,HARYANA,HISSAR,HR
125111,HARYANA,HISSAR,HR
125112,HARYANA,HISSAR,HR
125113,HARYANA,HISSAR,HR
125115,HARYANA,HISSAR,HR
125120,HARYANA,HISSAR,HR
125121,HARYANA,HISSAR,HR
125122,HARYANA,HISSAR,HR
125126,HARYANA,HISSAR,HR
125133,HARYANA,HISSAR,HR
125201,HARYANA,HISSAR,HR
125202,HARYANA,HISSAR,HR
125248,HARYANA,HISSAR,HR
125455,HARYANA,HISSAR,HR
125550,HARYANA,HISSAR,HR
125600,HARYANA,HISSAR,HR
125768,HARYANA,HISSAR,HR
125786,HARYANA,HISSAR,HR
125874,HARYANA,HISSAR,HR
125896,HARYANA,HISSAR,HR
126010,HARYANA,KARNAL,HR
126012,HARYANA,KARNAL,HR
126013,HARYANA,KARNAL,HR
126037,HARYANA,KARNAL,HR
126101,HARYANA,KARNAL,HR
126102,HARYANA,KARNAL,HR
126110,HARYANA,KARNAL,HR
126111,HARYANA,KARNAL,HR
126112,HARYANA,KARNAL,HR
126113,HARYANA,KARNAL,HR
126114,HARYANA,KARNAL,HR
126115,HARYANA,KARNAL,HR
126116,HARYANA,KARNAL,HR
126120,HARYANA,KARNAL,HR
126121,HARYANA,KARNAL,HR
126125,HARYANA,KARNAL,HR
126140,HARYANA,KARNAL,HR
126144,HARYANA,KARNAL,HR
126152,HARYANA,KARNAL,HR
126301,HARYANA,KARNAL,HR
126612,HARYANA,KARNAL,HR
126682,HARYANA,KARNAL,HR
127001,HARYANA,BHIWANI,HR
127020,HARYANA,BHIWANI,HR
127021,HARYANA,BHIWANI,HR
127022,HARYANA,BHIWANI,HR
127024,HARYANA,BHIWANI,HR
127025,HARYANA,BHIWANI,HR
127026,HARYANA,BHIWANI,HR
127027,HARYANA,BHIWANI,HR
127028,HARYANA,BHIWANI,HR
127029,HARYANA,BHIWANI,HR
127030,HARYANA,BHIWANI,HR
127031,HARYANA,BHIWANI,HR
127032,HARYANA,BHIWANI,HR
127035,HARYANA,BHIWANI,HR
127040,HARYANA,BHIWANI,HR
127041,HARYANA,BHIWANI,HR
127042,HARYANA,BHIWANI,HR
127043,HARYANA,BHIWANI,HR
127045,HARYANA,BHIWANI,HR
127046,HARYANA,BHIWANI,HR
127092,HARYANA,BHIWANI,HR
127110,HARYANA,BHIWANI,HR
127111,HARYANA,BHIWANI,HR
127114,HARYANA,BHIWANI,HR
127201,HARYANA,BHIWANI,HR
127202,HARYANA,BHIWANI,HR
127238,HARYANA,BHIWANI,HR
127303,HARYANA,BHIWANI,HR
127306,HARYANA,BHIWANI,HR
127307,HARYANA,BHIWANI,HR
127308,HARYANA,BHIWANI,HR
127309,HARYANA,BHIWANI,HR
127310,HARYANA,BHIWANI,HR
127311,HARYANA,BHIWANI,HR
127312,HARYANA,BHIWANI,HR
127812,HARYANA,BHIWANI,HR
130001,HARYANA,SONIPAT,HR
131001,HARYANA,SONEPAT,HR
131002,HARYANA,SONEPAT,HR
131003,HARYANA,SONEPAT,HR
131004,HARYANA,SONEPAT,HR
131006,HARYANA,SONEPAT,HR
131011,HARYANA,SONEPAT,HR
131021,HARYANA,SONEPAT,HR
131022,HARYANA,SONEPAT,HR
131023,HARYANA,SONEPAT,HR
131024,HARYANA,SONEPAT,HR
131025,HARYANA,SONEPAT,HR
131026,HARYANA,SONEPAT,HR
131027,HARYANA,SONEPAT,HR
131028,HARYANA,SONEPAT,HR
131029,HARYANA,SONEPAT,HR
131030,HARYANA,SONEPAT,HR
131031,HARYANA,SONEPAT,HR
131039,HARYANA,SONEPAT,HR
131101,HARYANA,SONEPAT,HR
131102,HARYANA,SONEPAT,HR
131103,HARYANA,SONEPAT,HR
131104,HARYANA,SONEPAT,HR
131106,HARYANA,SONEPAT,HR
131107,HARYANA,SONEPAT,HR
131109,HARYANA,SONEPAT,HR
131113,HARYANA,SONEPAT,HR
131115,HARYANA,SONEPAT,HR
131203,HARYANA,SONEPAT,HR
131296,HARYANA,SONEPAT,HR
131300,HARYANA,SONEPAT,HR
131301,HARYANA,SONEPAT,HR
131302,HARYANA,SONEPAT,HR
131304,HARYANA,SONEPAT,HR
131305,HARYANA,SONEPAT,HR
131306,HARYANA,SONEPAT,HR
131307,HARYANA,SONEPAT,HR
131402,HARYANA,SONEPAT,HR
131403,HARYANA,SONEPAT,HR
131405,HARYANA,SONEPAT,HR
131407,HARYANA,SONEPAT,HR
131408,HARYANA,SONEPAT,HR
131409,HARYANA,SONEPAT,HR
131456,HARYANA,SONEPAT,HR
131502,HARYANA,SONEPAT,HR
131511,HARYANA,SONEPAT,HR
131641,HARYANA,SONEPAT,HR
131708,HARYANA,SONEPAT,HR
131913,HARYANA,SONEPAT,HR
132000,HARYANA,KARNAL,HR
132001,HARYANA,KARNAL,HR
132002,HARYANA,KARNAL,HR
132003,HARYANA,KARNAL,HR
132004,HARYANA,KARNAL,HR
132010,HARYANA,KARNAL,HR
132011,HARYANA,KARNAL,HR
132012,HARYANA,KARNAL,HR
